symbol,date,open,high,low,close,volume,oi,expiry
EXIDEIND  ,2025-12-11,372.15,378.6,371.4,377.9,158400.0,1260000.0,2026-01-27
EXIDEIND  ,2025-12-11,376.55,380.6,376.05,380.0,39600.0,153000.0,2026-02-24
FEDERALBNK,2025-12-11,260.65,263.55,260.0,261.85,8770000.0,60315000.0,2025-12-30
FEDERALBNK,2025-12-11,261.75,264.8,261.5,263.3,980000.0,6090000.0,2026-01-27
FEDERALBNK,2025-12-11,263.5,265.6,262.45,264.3,110000.0,575000.0,2026-02-24
FORTIS    ,2025-12-11,854.25,867.0,853.35,861.95,1488775.0,13767100.0,2025-12-30
FORTIS    ,2025-12-11,860.55,871.0,858.5,865.9,99200.0,544050.0,2026-01-27
FORTIS    ,2025-12-11,864.7,867.7,864.7,865.0,3875.0,34100.0,2026-02-24
GAIL      ,2025-12-11,168.73,170.94,168.34,169.44,5912550.0,88297650.0,2025-12-30
GAIL      ,2025-12-11,169.8,171.8,169.31,170.39,469350.0,7144200.0,2026-01-27
GAIL      ,2025-12-11,171.0,172.77,170.14,171.25,72450.0,1222200.0,2026-02-24
GLENMARK  ,2025-12-11,1956.4,1977.4,1950.0,1964.3,1157250.0,14089875.0,2025-12-30
GLENMARK  ,2025-12-11,1968.0,1982.8,1964.0,1977.0,43875.0,156375.0,2026-01-27
GLENMARK  ,2025-12-11,1982.2,1989.8,1981.9,1988.4,6000.0,13125.0,2026-02-24
GMRAIRPORT,2025-12-11,99.11,99.11,97.35,98.33,19760175.0,170901450.0,2025-12-30
GMRAIRPORT,2025-12-11,99.88,99.89,97.93,98.99,2232000.0,8084025.0,2026-01-27
GMRAIRPORT,2025-12-11,99.05,100.08,98.52,99.72,83700.0,2113425.0,2026-02-24
GODREJCP  ,2025-12-11,1140.0,1157.3,1127.6,1153.4,1613500.0,10490500.0,2025-12-30
GODREJCP  ,2025-12-11,1138.1,1163.5,1136.2,1160.2,48500.0,123000.0,2026-01-27
GODREJCP  ,2025-12-11,1153.0,1167.0,1153.0,1163.0,5500.0,10500.0,2026-02-24
GODREJPROP,2025-12-11,2018.0,2056.0,2008.7,2044.6,588225.0,8449375.0,2025-12-30
GODREJPROP,2025-12-11,2030.0,2067.1,2026.1,2056.7,21725.0,277475.0,2026-01-27
GODREJPROP,2025-12-11,2069.0,2076.6,2061.5,2068.0,4675.0,77825.0,2026-02-24
GRASIM    ,2025-12-11,2759.2,2815.4,2751.9,2810.6,1504000.0,15464500.0,2025-12-30
GRASIM    ,2025-12-11,2775.0,2833.3,2767.9,2828.2,77750.0,476500.0,2026-01-27
GRASIM    ,2025-12-11,2822.5,2842.6,2818.5,2842.6,9000.0,14750.0,2026-02-24
HAL       ,2025-12-11,4310.0,4354.2,4300.0,4330.7,727800.0,9212250.0,2025-12-30
HAL       ,2025-12-11,4346.4,4377.8,4327.8,4357.6,85050.0,769350.0,2026-01-27
HAL       ,2025-12-11,4340.0,4385.0,4339.1,4365.5,13950.0,119400.0,2026-02-24
HAVELLS   ,2025-12-11,1386.0,1411.5,1386.0,1408.6,1222000.0,7938000.0,2025-12-30
HAVELLS   ,2025-12-11,1399.4,1415.5,1397.0,1413.4,211500.0,452500.0,2026-01-27
HAVELLS   ,2025-12-11,1407.2,1418.6,1407.2,1416.9,11500.0,43000.0,2026-02-24
HCLTECH   ,2025-12-11,1671.4,1681.9,1653.9,1675.4,1502900.0,16563400.0,2025-12-30
HCLTECH   ,2025-12-11,1668.6,1678.5,1652.3,1673.6,144550.0,711200.0,2026-01-27
HCLTECH   ,2025-12-11,1685.6,1688.8,1664.2,1685.1,10850.0,70700.0,2026-02-24
HDFCAMC   ,2025-12-11,2617.1,2677.7,2611.0,2674.4,1093200.0,4482300.0,2025-12-30
HDFCAMC   ,2025-12-11,2636.1,2694.3,2636.1,2690.2,91500.0,143400.0,2026-01-27
HDFCAMC   ,2025-12-11,2678.5,2703.3,2674.7,2702.8,3900.0,14700.0,2026-02-24
HDFCBANK  ,2025-12-11,994.7,1006.6,993.2,1004.4,10480250.0,194590550.0,2025-12-30
HDFCBANK  ,2025-12-11,1003.1,1013.0,999.1,1010.8,3281300.0,20253200.0,2026-01-27
HDFCBANK  ,2025-12-11,1005.1,1018.0,1005.1,1016.3,96800.0,764500.0,2026-02-24
HDFCLIFE  ,2025-12-11,773.0,778.6,765.6,776.1,3567300.0,29280900.0,2025-12-30
HDFCLIFE  ,2025-12-11,778.0,782.3,770.65,780.95,424600.0,1541100.0,2026-01-27
HDFCLIFE  ,2025-12-11,779.15,786.0,775.15,786.0,7700.0,128700.0,2026-02-24
HEROMOTOCO,2025-12-11,5980.0,6033.5,5923.0,6007.0,739050.0,5534700.0,2025-12-30
HEROMOTOCO,2025-12-11,5963.0,6060.0,5955.0,6037.0,27450.0,163650.0,2026-01-27
HEROMOTOCO,2025-12-11,5979.5,6024.5,5960.0,6015.0,1200.0,27600.0,2026-02-24
HFCL      ,2025-12-11,66.9,68.59,65.89,67.12,17021550.0,106618500.0,2025-12-30
HINDALCO  ,2025-12-11,826.5,832.7,824.55,828.4,4025700.0,76901300.0,2025-12-30
HINDALCO  ,2025-12-11,833.25,837.65,829.75,832.75,732900.0,1474200.0,2026-01-27
HINDALCO  ,2025-12-11,840.0,842.0,834.85,837.95,58800.0,178500.0,2026-02-24
HINDPETRO ,2025-12-11,453.85,453.85,445.0,449.1,4738500.0,38157075.0,2025-12-30
HINDPETRO ,2025-12-11,455.0,455.8,447.65,452.0,526500.0,759375.0,2026-01-27
HINDPETRO ,2025-12-11,452.9,453.5,449.5,452.1,30375.0,184275.0,2026-02-24
HINDUNILVR,2025-12-11,2312.1,2319.7,2301.5,2315.3,1034400.0,5908800.0,2025-12-30
HINDUNILVR,2025-12-11,2331.2,2334.3,2317.2,2330.8,97200.0,897300.0,2026-01-27
HINDUNILVR,2025-12-11,2338.0,2346.0,2330.9,2345.0,6300.0,110400.0,2026-02-24
HINDZINC  ,2025-12-11,519.0,533.7,516.9,524.8,17403575.0,32524975.0,2025-12-30
HINDZINC  ,2025-12-11,519.0,536.6,519.0,527.8,1599850.0,1971025.0,2026-01-27
HINDZINC  ,2025-12-11,523.05,538.9,523.0,530.8,325850.0,384650.0,2026-02-24
HUDCO     ,2025-12-11,212.0,215.2,210.7,213.51,5008875.0,30597150.0,2025-12-30
HUDCO     ,2025-12-11,212.0,216.65,212.0,214.75,666000.0,1842600.0,2026-01-27
HUDCO     ,2025-12-11,213.98,217.2,213.98,215.8,41625.0,308025.0,2026-02-24
ICICIBANK ,2025-12-11,1370.0,1372.0,1359.2,1366.7,7110600.0,104031900.0,2025-12-30
ICICIBANK ,2025-12-11,1378.0,1380.7,1367.5,1374.6,2092300.0,12125400.0,2026-01-27
ICICIBANK ,2025-12-11,1384.7,1386.2,1377.0,1382.8,46200.0,819700.0,2026-02-24
ICICIGI   ,2025-12-11,1939.9,1949.4,1922.4,1944.2,335075.0,5941000.0,2025-12-30
ICICIGI   ,2025-12-11,1959.4,1959.5,1939.5,1957.4,13000.0,55575.0,2026-01-27
ICICIGI   ,2025-12-11,1955.0,1955.0,1955.0,1955.0,325.0,4550.0,2026-02-24
ICICIPRULI,2025-12-11,648.65,648.65,635.9,638.4,1549375.0,14737100.0,2025-12-30
ICICIPRULI,2025-12-11,650.1,650.9,640.35,641.9,76775.0,297850.0,2026-01-27
ICICIPRULI,2025-12-11,654.0,654.0,646.0,646.25,9250.0,26825.0,2026-02-24
IDEA      ,2025-12-11,10.8,11.36,10.75,11.31,1141741650.0,5970950025.0,2025-12-30
IDEA      ,2025-12-11,10.84,11.43,10.82,11.38,179688150.0,577732425.0,2026-01-27
IDEA      ,2025-12-11,10.9,11.49,10.9,11.43,46959075.0,69402225.0,2026-02-24
IDFCFIRSTB,2025-12-11,80.98,82.0,80.54,80.99,30301425.0,318253075.0,2025-12-30
IDFCFIRSTB,2025-12-11,81.21,82.45,80.96,81.46,4544750.0,34113450.0,2026-01-27
IDFCFIRSTB,2025-12-11,81.85,82.88,81.53,81.91,844025.0,2244550.0,2026-02-24
IEX       ,2025-12-11,139.01,143.13,137.94,142.8,8205000.0,51037500.0,2025-12-30
IEX       ,2025-12-11,139.96,143.83,138.5,143.64,690000.0,4121250.0,2026-01-27
IEX       ,2025-12-11,140.3,143.77,138.8,143.51,161250.0,1027500.0,2026-02-24
IIFL      ,2025-12-11,565.95,578.4,564.5,570.1,2697750.0,11663850.0,2025-12-30
IIFL      ,2025-12-11,568.85,581.0,568.85,573.5,217800.0,273900.0,2026-01-27
INDHOTEL  ,2025-12-11,723.0,734.95,719.55,732.95,2898000.0,25337000.0,2025-12-30
INDHOTEL  ,2025-12-11,725.95,738.25,724.1,737.15,629000.0,1296000.0,2026-01-27
INDHOTEL  ,2025-12-11,729.85,741.65,729.85,741.65,7000.0,110000.0,2026-02-24
INDIANB   ,2025-12-11,789.0,793.5,781.05,786.75,1303000.0,11282000.0,2025-12-30
INDIANB   ,2025-12-11,791.0,797.0,785.0,789.6,29000.0,356000.0,2026-01-27
INDIANB   ,2025-12-11,796.65,796.65,790.05,790.05,5000.0,52000.0,2026-02-24
